id,family,layout,N,B,workload,arm,seed,warmup_requests,measured_requests,bytes_per_request,rpc_per_request,request_bytes,response_bytes,cpu_seconds,harness_seconds,elapsed_seconds,max_online_boundary_stash,answer_sha256,transcript_sha256,receipt,receipt_sha256
MIN_formal_rho_deferred_B64_seed101,rho,host,4096,64,uniform,base,101,2048,4096,53788.3046875,8.34326171875,109196668,111120228,,57.91502380371094,111.6280529499054,,8faf4f517c8d90f77a362ff87995f6ccc4368bbd58eb9bb0d5beee8bd6576d3d,085ba590ccad36368158a321283cec25c8d86d5615d0b1b46e8ffc1ad31704ef;ab9509ffd99fbce12374ac456ffe0437f962a399c941329ec1337bd46a28ccb2,results\formal\MIN_formal_rho_deferred_B64_seed101.json,5cb6e5d1864dc4147aab2d9acd93ca7bb150149b590a6ec6f7942288ac11adc9
MIN_formal_rho_deferred_B64_seed102,rho,host,4096,64,uniform,base,102,2048,4096,53677.51953125,8.326171875,108971576,110891544,,63.43695569038391,120.63156485557556,,3f2acac29cbbcb2e66bed4feff75e64cc9a80745ec7590fd9551294b74f7e8bf,d618b6b0a8cb1568393b06750dcbe2e13b928797e0c5f56b489290dcb125076d;0c77b17402ee15485c387e03def2839f07f95babcf088f538907b0180ff475d9,results\formal\MIN_formal_rho_deferred_B64_seed102.json,600226c15ff07b37302c3338a920ff381fa842287edbfcc03ca8a1e8eecfb144
MIN_formal_rho_deferred_B64_seed103,rho,host,4096,64,uniform,base,103,2048,4096,53672.5390625,8.32568359375,108960908,110881812,,56.1230309009552,107.17074346542358,,17f7290094dbafa209b260b3f97566ce2620c3c0a3e03270f1135ade8343f437,ff6d4a30b89f4946a2355ea5507bfdd8512bf9969763ffc0999b00a4507d3366;e439a16fe35ae59142d4dacd14e604a7505913acf15589a2cc60e13e3ad63d86,results\formal\MIN_formal_rho_deferred_B64_seed103.json,ca04688e5fc8bd6f9261fbf717cca801ac547080f64e4223ea91d4913dc9be0b
MIN_formal_rho_deferred_B64_seed104,rho,host,4096,64,uniform,base,104,2048,4096,53583.6953125,8.3115234375,108781288,110697528,,55.293798208236694,106.03790378570557,,ad11837183db4004926388d7fd62d31c9569ef2d10cad7ba09b025431f9478db,e09cb3deb352767cc45b1efc031a70988a8d5967f2576df835f97cb11fa65732;9ba0eabc3321945862a4bc9833aae9a99fbb35eace12e7d90d0cf6bb047e5f47,results\formal\MIN_formal_rho_deferred_B64_seed104.json,eea74fddb6a6ab811a399a20669fe6196e8ea41de44ac22ba28db5785a8db960
MIN_formal_rho_deferred_B64_seed105,rho,host,4096,64,uniform,base,105,2048,4096,53578.71484375,8.31103515625,108770620,110687796,,59.06465935707092,113.34250235557556,,26aceb7c6ec2b665af51c418fa14deb50c988cb3c47bb57f1da621c960dce6a2,b165fb37fe92cb7c196d460b3d576793ebe28ab446c7b855b550fff4d591b8ad;f4863f55d33f0b3eeadaecdf5085094fa0f1577d257b1c72627f833074f26a88,results\formal\MIN_formal_rho_deferred_B64_seed105.json,4b91e0e679e10682db0ce333f3b5fe5fbe234539baf9a47f4042907177e7ce63
MIN_formal_rho_sde_B4096_seed101,rho,host,4096,4096,uniform,selective,101,2048,4096,815830.892578125,8.34326171875,1425329552,1916313784,,707.7681241035461,1321.1464984416962,,93559398ed07a0cbbfa8053102cc73e9f146f9592589b8a110135ff4f8525965,eb7c36747562f60f8bd0692a0c16b8b7de83888d175be8b817d60ac293742c4f;00992748141cf06b66e5ddac97b6d8180f33df179e079f9f70dfe14924197e1c,results\formal\MIN_formal_rho_sde_B4096_seed101.json,a8c946664570a0329ffea74601b241606a133935b02e5c2669d9fda451e11ce6
MIN_formal_rho_sde_B4096_seed102,rho,host,4096,4096,uniform,selective,102,2048,4096,813733.34765625,8.326171875,1422323032,1910728760,,707.1211123466492,1319.884394645691,,14a34258ba7302bd7b9f839b1b20708da9d7658edc8ebdc1b6b6700368982e17,5863c7d08cf10851b05209eee17aa773ee817c9a34724cea8e2aa3862c9cd275;bddfaa70b0bedcb7bda12e16c047e07f2bdc360a30934346f71571a48d9a565d,results\formal\MIN_formal_rho_sde_B4096_seed102.json,232eeb0b2f1fe6ead242cda13afb762e93bc907c0d925b516f99cc36288f9a60
MIN_formal_rho_sde_B4096_seed103,rho,host,4096,4096,uniform,selective,103,2048,4096,813697.279296875,8.32568359375,1422109976,1910794080,,635.4304759502411,1248.5847218036652,,ac27acf63bcd30e25e8f041ed45aac9e57c60d851de1324a2922cd4c30295476,c7322f15600f1850c98152a9071366c42233e600202afdf8a667919c7335a17c;49be618cb33a6d0fd80ddbf30b5c7599af6fb1647da9b26363a45455cc165f4a,results\formal\MIN_formal_rho_sde_B4096_seed103.json,d58b2c3ffdf08b1429567aa472914e9bb3a677544c561f2eef640fb909ea55ef
MIN_formal_rho_sde_B4096_seed104,rho,host,4096,4096,uniform,selective,104,2048,4096,813018.150390625,8.3115234375,1419937516,1910184828,,707.1152248382568,1322.3728466033936,,7a41c6809c07af2967c4c7f70828321d15038179876d919aa3fca454d5e7e8eb,9fcf0814de8952213e7bb215b033f63614ba85ed97049e6ecfe3ec0a635fb5de;445af2afddd5a5d506e66e3d586427d87d22116a7bd11e2fcf49ce051fd99bff,results\formal\MIN_formal_rho_sde_B4096_seed104.json,18555bbbe202fde6f9d0e47632d150cab8d4d2bb39bab4e49a4d937763fbac18
MIN_formal_rho_sde_B4096_seed105,rho,host,4096,4096,uniform,selective,105,2048,4096,812843.701171875,8.31103515625,1419710336,1909697464,,553.5402042865753,1128.6665570735931,,f445314bf2489591aa3b641cca077bac001c873b65c028b133312d09de03fee7,8652d2a9607776b325d74aa9e6c387c56adf4fc616a0891f7a733c03c75eafea;bd95373e6515899ba6ca5ab8940664dba18a93ebd6777f82dcc13f37cc8043e0,results\formal\MIN_formal_rho_sde_B4096_seed105.json,81c214193cccf843cf592ea2aa852663116221f6520a1ad8daadaa1d2d36a020
MIN_formal_rho_sde_B64_seed101,rho,host,4096,64,uniform,selective,101,2048,4096,48494.830078125,8.34326171875,100341776,98293048,,53.909327030181885,99.85870313644409,,8faf4f517c8d90f77a362ff87995f6ccc4368bbd58eb9bb0d5beee8bd6576d3d,085ba590ccad36368158a321283cec25c8d86d5615d0b1b46e8ffc1ad31704ef;7cc65cc052834c3c82092cac4c640bb91df9afa9b6f9a441f7500a2ebd71d592,results\formal\MIN_formal_rho_sde_B64_seed101.json,4740307c0dcf656bfcf5d4c850a02f2dc79d69c86b252a46bcdade152ffa8909
MIN_formal_rho_sde_B64_seed102,rho,host,4096,64,uniform,selective,102,2048,4096,48369.97265625,8.326171875,100093144,98030264,,53.90487551689148,100.07760763168335,,3f2acac29cbbcb2e66bed4feff75e64cc9a80745ec7590fd9551294b74f7e8bf,d618b6b0a8cb1568393b06750dcbe2e13b928797e0c5f56b489290dcb125076d;e8feb936c9641f306d6b537fb10802ccc5407b1c8d24fa506e789248a1c6ae74,results\formal\MIN_formal_rho_sde_B64_seed102.json,6704a524644b91b7ab135ee3c7b0aa87cc85fa63a71c871d467827dbb3ee4f83
MIN_formal_rho_sde_B64_seed103,rho,host,4096,64,uniform,selective,103,2048,4096,48369.341796875,8.32568359375,100089752,98031072,,54.04170227050781,100.37522554397583,,17f7290094dbafa209b260b3f97566ce2620c3c0a3e03270f1135ade8343f437,ff6d4a30b89f4946a2355ea5507bfdd8512bf9969763ffc0999b00a4507d3366;7df9876ddc1cb51d8d763f362b9efe72f17e0449f4fcda22dcfb161ab9b01ac8,results\formal\MIN_formal_rho_sde_B64_seed103.json,8f2b1a9f5d28d4b0d2181551b61c00303ea672aeebc3cf0359caf02879c64b7d
MIN_formal_rho_sde_B64_seed104,rho,host,4096,64,uniform,selective,104,2048,4096,48328.087890625,8.3115234375,99989740,97962108,,46.41213274002075,85.41763544082642,,ad11837183db4004926388d7fd62d31c9569ef2d10cad7ba09b025431f9478db,e09cb3deb352767cc45b1efc031a70988a8d5967f2576df835f97cb11fa65732;0895f799cdd039c80821966aca2c796d1db6dad95555451013c427129e500461,results\formal\MIN_formal_rho_sde_B64_seed104.json,6788990d47a99a1ca619b106bb6a5256ab6b53384454d21e17232f8f37f42d22
MIN_formal_rho_sde_B64_seed105,rho,host,4096,64,uniform,selective,105,2048,4096,48319.013671875,8.31103515625,99972224,97942456,,54.04736518859863,100.12709093093872,,26aceb7c6ec2b665af51c418fa14deb50c988cb3c47bb57f1da621c960dce6a2,b165fb37fe92cb7c196d460b3d576793ebe28ab446c7b855b550fff4d591b8ad;dccc3681ca39a4f581372fd6e4da3b993f4c4e3fa0920a06cc1eb9074a607e6d,results\formal\MIN_formal_rho_sde_B64_seed105.json,4f598528807f747312bbec1bc6a08ff8fdd18f3aaf07a6bce132864f9510aeaa
