height,a,b,c,mass_hex
3,3,3,1,0x1.62b33c0670e36p-13
3,3,3,2,0x1.62b33c0670e36p-14
3,3,4,0,0x1.40ce8e49c4652p-11
3,3,4,1,0x1.3d60de0fea8d9p-14
3,3,5,0,0x1.4913cb4511b53p-13
3,4,0,0,0x1.1197ed80b0bc8p-6
3,4,0,1,0x1.0eab68d09c166p-9
3,4,0,2,0x1.0eab68d09c166p-10
3,4,0,3,0x1.d00145f7e701fp-12
3,4,0,4,0x1.5c00f479ed418p-13
3,4,1,0,0x1.513fe5255083ap-9
3,4,1,1,0x1.4da538ae7dc5ep-12
3,4,1,2,0x1.4da538ae7dc5ep-13
3,4,1,3,0x1.1dfb5527d9851p-14
3,4,2,0,0x1.806e4893ac4f9p-10
3,4,2,1,0x1.7c52871e03f8dp-13
3,4,2,2,0x1.7c52871e03f8dp-14
3,4,3,0,0x1.80c4a711ed76p-11
3,4,3,1,0x1.7ca7f950a9432p-14
3,4,4,0,0x1.58485be3638cap-12
3,5,0,0,0x1.db57b6b38eccap-8
3,5,0,1,0x1.d6433bfab9d45p-11
3,5,0,2,0x1.d6433bfab9d45p-12
3,5,0,3,0x1.93150ed6e86dp-13
3,5,1,0,0x1.24f8341fa3451p-10
3,5,1,1,0x1.21d6acba127a6p-13
3,5,1,2,0x1.21d6acba127a6p-14
3,5,2,0,0x1.4df4baad4b152p-11
3,5,2,1,0x1.4a631102fd48fp-14
3,5,3,0,0x1.4e3fc21dd4bb6p-12
3,6,0,0,0x1.a6cbde71a4b16p-9
3,6,0,1,0x1.a247265381b64p-12
3,6,0,2,0x1.a247265381b64p-13
3,6,1,0,0x1.049561db1bd2cp-11
3,6,1,1,0x1.01cc75223eb3ap-14
3,6,2,0,0x1.290a05b2cd912p-12
3,7,0,0,0x1.54f742bbabe42p-10
3,7,0,1,0x1.51526b72ec7f4p-13
3,7,1,0,0x1.a44c1c338df7dp-13
3,8,0,0,0x1.ed393b4a0f579p-12
4,0,0,0,0x1.020a38af05d8p-2
4,0,0,1,0x1.3e13c71f5d904p-5
