id,N,B,kind,workload,seed,bytes_per_request,rpc_per_request,elapsed_seconds,answer_sha256,receipt,receipt_sha256
B4_r0_N16384_B256_seed105,16384,256,r0,uniform,105,61009.0390625,8.000244140625,165.33258700370789,8df8edb6cafdb046033e3129732befa0e27dd384b06098d45a95e79cb10a6c5b,results\formal_slices\B4_r0_N16384_B256_seed105.json,bb9eb9f38c79f1043bce37956461d44ac867c5b85176750807cd892c2d492c2a
B4_r0_N16384_B64_seed101,16384,64,r0,uniform,101,48525.08984375,8.000244140625,167.38490843772888,1c967bfa50d41f08a3cfc6d81819f4703fbaac6fe5952bea70ede6a63c7f4c54,results\formal_slices\B4_r0_N16384_B64_seed101.json,d84e6f490d606755293a2c9c03cc758d63f8250a9e855016ada20dcf344338da
B4_r0_N16384_B64_seed102,16384,64,r0,uniform,102,48568.25390625,8.000244140625,154.09168910980225,c8d2482881f2761c14f3582589fe00aeeb2fe8ab1b662a69bf11c0609e8cac9f,results\formal_slices\B4_r0_N16384_B64_seed102.json,2e4b476737276843d7ae411c302df82ff7ccf1425fa4123c8c5fe9b22b6c893e
B4_r0_N16384_B64_seed103,16384,64,r0,uniform,103,48652.23046875,8.000244140625,152.9899024963379,9d23e85cb054285d127c8916d023ba8679697f6a704e36b7db3b1c7706d4c70f,results\formal_slices\B4_r0_N16384_B64_seed103.json,edfe7421e9da897a8f950b4b7c3454dc9872b4a439fc79abe3d529b91f44b926
B4_r0_N16384_B64_seed104,16384,64,r0,uniform,104,48580.89453125,8.000244140625,145.01639533042908,778954bb64a6396e5f2b63d7f66e9992ac759b5d75a4a30a6e23a25ec30cd6cf,results\formal_slices\B4_r0_N16384_B64_seed104.json,9c6cfd44b779ac9ca4f28f835298cbcd8e1df754c88fdfe76ce43ebb350e08a9
B4_r0_N16384_B64_seed105,16384,64,r0,uniform,105,48571.6484375,8.000244140625,146.28488659858704,6c90a9dfb7d1330890bd0826b3b72e1e57add01dc997742b344c19a4ac1ff5a6,results\formal_slices\B4_r0_N16384_B64_seed105.json,8cfd5a60b04f792a5eba0346201cb35ffbcaf3ac541a4e18ce168c1cc60d9615
B4_r0_N4096_B4096_seed101,4096,4096,r0,uniform,101,242585.93359375,3.999755859375,98.49736762046814,0b558f3044186e22731b7053435137dd6f7d0906336dd30ac30b569ddce7c7cf,results\formal_slices\B4_r0_N4096_B4096_seed101.json,dfe59d744c80bd0b9901b8a86ba89bed1d3cf8a0b70b668ce42e6fcf9e39ad96
B4_r0_N4096_B4096_seed102,4096,4096,r0,uniform,102,243395.3359375,3.999755859375,97.31396245956421,f8e0163e9c1e34402b0a6e8ede2c5fecbb2cb60d9530c1e059d29d30958919b7,results\formal_slices\B4_r0_N4096_B4096_seed102.json,13f404b57f451e3517ebb8e39251e8a0f40d3d934a721f054d7bf957ba079ec8
B4_r0_N4096_B4096_seed103,4096,4096,r0,uniform,103,242581.0,3.999755859375,96.55613112449646,5615cb9abebb215bb9208c51b7c4144ce65487679e3dfa5f0a251ae7bc313519,results\formal_slices\B4_r0_N4096_B4096_seed103.json,b69031d5a0e065a4cd5464185c7583eda7154d1678315991f45ef1778a26816e
B4_r0_N4096_B4096_seed104,4096,4096,r0,uniform,104,243452.203125,3.999755859375,96.92581534385681,1af7c12b082585da372e263c152c467f56a2dae2f0543e10700cc635a265592f,results\formal_slices\B4_r0_N4096_B4096_seed104.json,64d56c61d212350e2ed278a9150f8eff7f7e90b0070ea1f83f022839972f2ea1
B4_r0_N4096_B4096_seed105,4096,4096,r0,uniform,105,242638.23046875,3.999755859375,96.51691937446594,98f5d800bdfbee783a2bb7aa03248fec8a770bf36f541d8d5334a4d1d4ed5605,results\formal_slices\B4_r0_N4096_B4096_seed105.json,784b6e539fa7d743cd46a5ec69189fefc5df354f7181f9741e688e94ff39a6d7
B4_r0_N65536_B4096_seed101,65536,4096,r0,uniform,101,354554.37109375,8.000244140625,1073.4365923404694,c15cfab35b3cd6083de830c43b5832c4846b148bff2e62a0c8c346d51d539ba6,results\formal_slices\B4_r0_N65536_B4096_seed101.json,071123da4b6301ee7f02b3d67b4180a07c39e8cc55481b1dff064318ad8ba805
B4_r0_N65536_B4096_seed102,65536,4096,r0,uniform,102,353550.03515625,8.000244140625,1056.6328349113464,1e35074a1a9dca49fa0117ab2b31900767601819ec16e57a86b6228fbb08f163,results\formal_slices\B4_r0_N65536_B4096_seed102.json,efe94cdb3353cb4208f450fb17e9403c051ab2b6270792ab8a92a8a148cf3d36
B4_r0_N65536_B4096_seed103,65536,4096,r0,uniform,103,353266.26171875,8.000244140625,1058.862049818039,cfe63f6707a8148bb7d44c0ae041fc9e9a8157bc99cf9b4b8b8fbe20e4ce4bee,results\formal_slices\B4_r0_N65536_B4096_seed103.json,2a89ad636315ebbec36cff3539622785e9cf18635314495ad0377fd7e7db4918
B4_r0_N65536_B4096_seed104,65536,4096,r0,uniform,104,353603.2421875,8.000244140625,1005.4718725681305,65677b656f14bd72f885517fc27d7685b532f757a053727192c90f62ce153ae5,results\formal_slices\B4_r0_N65536_B4096_seed104.json,73b82851c42c93970ea025b8224d79828a09c150449038e57bb5d226fbbb3d7b
B4_r0_N65536_B4096_seed105,65536,4096,r0,uniform,105,354483.5546875,8.000244140625,1000.4358839988708,bb4d57685d4c7e77d6806afe9ea1e666950e970b944027b1d377d44184a9eed9,results\formal_slices\B4_r0_N65536_B4096_seed105.json,7909623baba0fba8e576c8f2d61a7e33fdd7d075f1709c6399bdc66efeaf485c
B4_ring_N16384_B1024_seed101,16384,1024,ring,uniform,101,150744.4140625,8.000244140625,226.77526903152466,6cad71d57fb07d1cca4ee6d573e63867d77b4a38582176ce52627cf066c79d90,results\formal_slices\B4_ring_N16384_B1024_seed101.json,d33e5bdf28fdc0e513621e6f970131ec7b5748dface0494ac0764d5527c05541
